name,description,meta_desc,website,facebook_link,ticket_link,start_date,end_date,min_price,max_price,capacity,is_free,postal_code,city,canton,coord_x,coord_y
Antigel,"Plus qu'un festival de danse et de musique, Antigel est un tour-opérateur du territoire genevois qui parie sur son rôle de stimulateur. Trait d'union entre son et mouvement, Antigel déplie une carte culturelle inédite et explore la richesse et la diversité des Communes genevoises. Notre désir est de miser sur l'insolite en incitant le décloisonnement artistique","Plus qu'un festival de danse et de musique, Antigel est un tour-opérateur du territoire genevois qui parie sur son rôle de stimulateur. Trait d'union entre son et mouvement, Antigel déplie une carte...",http://www.antigel.ch,http://www.facebook.com/festantigel,,2016-01-29,2016-02-14,0.0,65.0,,False,0,Genève,GE,46.2043907,6.1431577
Antigel,"Plus qu'un festival de danse et de musique, Antigel est un tour-opérateur du territoire genevois qui parie sur son rôle de stimulateur. Trait d'union entre son et mouvement, Antigel déplie une carte culturelle inédite et explore la richesse et la diversité des Communes genevoises. Notre désir est de miser sur l'insolite en incitant le décloisonnement artistique",,http://www.antigel.ch,http://www.facebook.com/festantigel,,2017-01-27,2017-02-19,,,,False,1202,Genève,Genève,46.2098003,6.1356327
Artiphys,"Artiphys est un festival organisé par une vingtaine de bénévoles faisant parti d'une association à but non lucratif de l'EPFL. Le festival se déroule au sein même du campus Lausannois. La date retenue pour la 26ème édition est le 7 Avril 2016.
Artiphys, c'est une dizaine de concerts sur trois scènes, des groupes de renommées internationales et plus de 100 bénévoles sur une seule soirée.Le festival a pour but d'offrir une expérience unique en recherchant avant tout la qualité. Le public peut choisir parmi trois scènes proposant une programmation éclectique, aux rythmes festifs et soutenus.
Edition après édition, il accueille des groupes de musique internationaux et suisses (tel que High Tone, Stereoheroes, PMT, Mac'Abbé Orchestra, Fumuj, les voleurs de swing), ainsi que des groupes de la région valdo- genevoise.
Le Festival Artiphys est un des plus importants événements du campus EPFL-UNIL.
Preuve d'un succès toujours grandissant, en 2012 le Festival s'est déroulé à guichets fermés pour la première fois de son histoire !
Tous les ans, Artiphys accueille le temps d'une soirée plus de 1500 personnes venues profiter d'un des premiers festivals de l'année!",Artiphys est un festival organisé par une vingtaine de bénévoles faisant parti d'une association à but non lucratif de l'EPFL. Le festival se déroule au sein même du campus Lausannois. La date...,http://artiphys-beta.epfl.ch/v2/,http://www.facebook.com/Artiphys/timeline,,2016-04-07,2016-04-08,15.0,20.0,,False,1015,Lausanne,VD,46.5200793,6.5661124
Artiphys,"Artiphys est un festival organisé par une vingtaine de bénévoles faisant parti d'une association à but non lucratif de l'EPFL. Le festival se déroule au sein même du campus Lausannois. La date retenue pour la 26ème édition est le 7 Avril 2016.
Artiphys, c'est une dizaine de concerts sur trois scènes, des groupes de renommées internationales et plus de 100 bénévoles sur une seule soirée.Le festival a pour but d'offrir une expérience unique en recherchant avant tout la qualité. Le public peut choisir parmi trois scènes proposant une programmation éclectique, aux rythmes festifs et soutenus.
Edition après édition, il accueille des groupes de musique internationaux et suisses (tel que High Tone, Stereoheroes, PMT, Mac'Abbé Orchestra, Fumuj, les voleurs de swing), ainsi que des groupes de la région valdo- genevoise.
Le Festival Artiphys est un des plus importants événements du campus EPFL-UNIL.
Preuve d'un succès toujours grandissant, en 2012 le Festival s'est déroulé à guichets fermés pour la première fois de son histoire !
Tous les ans, Artiphys accueille le temps d'une soirée plus de 1500 personnes venues profiter d'un des premiers festivals de l'année!",,http://artiphys-beta.epfl.ch/v2/,https://www.facebook.com/Artiphys,,2017-03-16,2017-03-16,15.0,20.0,,False,1015,Lausanne,VD,46.5200793,6.5661124
Arx-en-ciel Openair,"L'Arx-en-Ciel Openair est un festival rock qui a vu le jour en 2002 à Wädenswil, près de Zurich.","L'Arx-en-Ciel Openair est un festival rock qui a vu le jour en 2002 à Wädenswil, près de Zurich.",http://www.arxenciel.ch/,,,2016-07-09,2016-07-09,20.0,28.0,,False,8820,Wädenswil,ZH,47.2292205,8.6760033
Au-delà des Préjugés,"Le festival «Au-delà des préjugés» est une rencontre culturelle qui se déroule durant trois jours, dans un esprit positif d’échanges, de partage et de convivialité. C’est aussi le Championnat Suisse de danse hip-hop individuelle. Il inclut des créations artistiques, des compétitions, de l’humour et de la musique. Chaque édition aborde un thème spécifique, qui favorise le dialogue entre jeunes, danseurs ou non, ainsi que les professionnels de divers milieux artistiques.","Le festival «Au-delà des préjugés» est une rencontre culturelle qui se déroule durant trois jours, dans un esprit positif d’échanges, de partage et de convivialité. C’est aussi le Championnat...",http://www.jdsevents.ch,,,2016-01-29,2016-01-31,16.0,16.0,,False,1003,Lausanne,VD,46.5204,6.624998
Auvernier Jazz,"L’histoire de l’Auvernier Jazz Festival commence par la passion pour la musique et pour un lieu magique. L’actuel directeur et fondateur, Jean Martin Peer, désirait créer une nouvelle manifestation consacrée au Jazz dans un cadre privilégié qui mette le public en contact direct avec des artistes de renommée internationale. Un vœu qui se réalise chaque année depuis 2009 sur la plage d’Auvernier grâce une équipe dynamique qui travaille bénévolement pour mettre sur pied 3 jours de festival.

Notre équipe compte aujourd’hui 40 membres bénévoles qui collaborent activement tout au long de l’année à l’organisation du festival. Une centaine de bénévoles rejoignent les rangs de l’AJF lors de chaque édition.

Si le festival est une réussite, c’est aussi grâce aux valeurs qui nous animent: solidarité, professionnalisme, passion et plaisir.","L’histoire de l’Auvernier Jazz Festival commence par la passion pour la musique et pour un lieu magique. L’actuel directeur et fondateur, Jean Martin Peer, désirait créer une nouvelle...",http://www.auvernierjazz.ch,http://www.facebook.com/AuvernierJazzFestival,http://www.auvernierjazz.ch/billetterie,2016-08-26,2016-08-28,36.0,48.0,,False,2012,Auvernier,NE,46.988967099999996,6.9352409999999995
Avalanche Festival,"« Avalanche Festival », un nom avec un impact fort pour inscrire cet évènement dans la durée et lui donner toute l’ampleur qu’il mérite.
Comme une Avalanche dévale les flancs d’une montagne, Avalanche Festival commence au sommet des pistes de ski de la Creusaz, traverse la station des Marécottes et se termine au cœur du village de Salvan, entraînant dans sa foulée sport, ambiance, convivialité, bonne humeur et musique, dans un puissant mélange de styles et de genres.
« Avalanche Festival  » s’adresse à un large public. Sa programmation éclectique avec des groupes locaux côtoyant des artistes Suisse et Internationnaux et la magie des lieux ont rapidemment su conquérir : fans de snowboard et de ski, mais également familles et noctambules.","« Avalanche Festival », un nom avec un impact fort pour inscrire cet évènement dans la durée et lui donner toute l’ampleur qu’il mérite. Comme une Avalanche dévale les flancs d’une montagne,...",http://www.avalanchefestival.ch/contact/,https://www.facebook.com/avalanchefest,,2016-03-04,2016-03-05,20.0,25.0,,False,1922,Salvan,VS,46.1161943,7.018023
Avalanche Festival,"« Avalanche Festival », un nom avec un impact fort pour inscrire cet évènement dans la durée et lui donner toute l’ampleur qu’il mérite.
Comme une Avalanche dévale les flancs d’une montagne, Avalanche Festival commence au sommet des pistes de ski de la Creusaz, traverse la station des Marécottes et se termine au cœur du village de Salvan, entraînant dans sa foulée sport, ambiance, convivialité, bonne humeur et musique, dans un puissant mélange de styles et de genres.
« Avalanche Festival  » s’adresse à un large public. Sa programmation éclectique avec des groupes locaux côtoyant des artistes Suisse et Internationnaux et la magie des lieux ont rapidemment su conquérir : fans de snowboard et de ski, mais également familles et noctambules.",,http://www.avalanchefestival.ch,https://www.facebook.com/avalanchefest,,2017-02-10,2017-02-11,0.0,0.0,,True,1922,Salvan,Valais,46.1161942,7.0180227
Avenches Opéra,"Avenches Opéra est un événement qui se déroule tous les ans dans les magnifiques arènes d'Avenches.

Venez découvrir l'opéra comme vous ne l'avez jamais vu dans un cadre stupéfiant et hors du commun !

Chaque année, un nouveau spectacle surprenant vous attend. Pour lors, c'est au tour de Madama Butterfly, un opéra de G. Puccini, de vous en mettre plein la vue.

Le show débutera le 30 juin et s'étendra les 2 - 7 - 9 - 12 et 15 juillet 2016.",Avenches Opéra est un événement qui se déroule tous les ans dans les magnifiques arènes d'Avenches.  Venez découvrir l'opéra comme vous ne l'avez jamais vu dans un cadre stupéfiant et hors du...,http://www.avenchesopera.ch,https://www.facebook.com/avenchesopera?_rdr=p,http://www.avenchesopera.ch/fr/menu/billetterie,2016-06-30,2016-07-15,22.0,190.0,,False,1580,Avenches,VD,46.8809098,7.0420075
B-Sides Festival,"In 2016, the B-Sides Festival will see its 11th edition. Visited by 500 people on its premiere, more than 4500 people attended the three days in 2015. The festival offers non-commercial music of various genres. Its area is imaginative decorated and is free of sponsoring and promotion. Furthermore, the festival manages its own kitchen and provides delicious meals specially created for the event.
Over the years, B-Sides Festival gained Switzerland-wide reputation as a unique event, which introduces and supports international and national talents as well as locals bands.","In 2016, the B-Sides Festival will see its 11th edition. Visited by 500 people on its premiere, more than 4500 people attended the three days in 2015. The festival offers non-commercial music of various...",http://home.b-sides.ch/,https://www.facebook.com/B-SIDES-Festival-8129211492/?ref=bookmarks,,2016-06-16,2016-06-18,,,,False,6003,Luzern,LU,47.0481564,8.3096667
Bad Bonn Kilbi,"We like Dada. We Dodo it.
Lost and happy since 1991.",We like Dada. We Dodo it. Lost and happy since 1991.,http://kilbi.badbonn.ch/2015,,http://www.starticket.ch,2016-06-02,2016-06-04,70.0,80.0,,False,3186,Guin,FR,46.8615737,7.1801778
Baleinev Festival 24',"Cette année, on se donne rendez-vous le 27 mai 2016 pour la 24ème édition du Baleinev Festival. On vous rappelle que ses portes restent fermées aux moins de 18 ans. 

Baleinev Festival revient tel une douce mélodie ardente qui te caresse les oreilles, un festin qui tenlace à bras-le-corps et te remplit les mirettes deffluves festives. Nourris toi de la musique dispensée sur la grande scène, le hall et la cave, nos trois scènes aux arômes différents et uniques.

Lincontournable Pimp My Wall - en perpétuelle évolution - revient habiller le festival avec de nouvelles idées étourdissantes. Comme si cela nétait pas suffisant, le hall se verra gratifié dun VJing omniprésent et fort agile.

Tout ce petit festin est à la portée de tes babines. Viens te servir sans retenue dans ce somptueux buffet que nous tavons préparé et ose goûter aux saveurs enchanteresses du Baleinev Festival !","Cette année, on se donne rendez-vous le 27 mai 2016 pour la 24ème édition du Baleinev Festival. On vous rappelle que ses portes restent fermées aux moins de 18 ans.   Baleinev Festival revient tel une...",http://www.baleinev.ch,http://www.facebook.com/baleinev/timeline,https://www.starticket.ch/fr/tickets/baleinev-festival-2016-20160527-1930-heig-vd-yverdon-les-bains,2016-05-27,2016-05-27,20.0,28.0,2000.0,False,1400,Yverdon-les-Bains,VD,46.7793801,6.6594976
Baleinev Festival 25',"Cette année, on se donne rendez-vous le 28 Avrill 2017 pour la 25ème édition du Baleinev Festival.

Baleinev Festival revient tel une douce mélodie ardente qui te caresse les oreilles, un festin qui tenlace à bras-le-corps et te remplit les mirettes deffluves festives. Nourris toi de la musique dispensée sur la grande scène, le hall et la cave, nos trois scènes aux arômes différents et uniques.

L'incontournable Pimp My Wall - en perpétuelle évolution - revient habiller le festival avec de nouvelles idées étourdissantes. Comme si cela n'était pas suffisant, le hall se verra gratifié dun VJing omniprésent et fort agile.

Tout ce petit festin est à la portée de tes babines. Viens te servir sans retenue dans ce somptueux buffet que nous t'avons préparé et ose goûter aux saveurs enchanteresses du Baleinev Festival !

Plus d'informations à venir...",,http://www.baleinev.ch,https://www.facebook.com/baleinev/,,2017-04-28,2017-04-28,20.0,28.0,2000.0,False,1400,Yverdon-les-Bains,VD,46.7793801,6.6594976
Balelec Festival,"Balélec est le premier festival de musique open-air du printemps en Suisse. Il est organisé par des bénévoles, en majorité étudiants, et se déroule chaque année au mois de mai sur le site de l'EPFL à Lausanne[1]. C'est à l'origine le bal de la section d'électricité de l'EPFL. Il se déroule sur une soirée durant laquelle l'école est transformée et est divisée en scènes et clubs où ont lieu différentes prestations musicales. Avec une capacité de 15'000 festivaliers et plus de 30 concerts en une soirée, le festival Balélec est considéré comme un des plus grands festivals organisé par des étudiants en Europe[2],[3] .","Balélec est le premier festival de musique open-air du printemps en Suisse. Il est organisé par des bénévoles, en majorité étudiants, et se déroule chaque année au mois de mai sur le site de...",http://www.balelec.ch,http://www.facebook.com/balelec,,2016-05-13,2016-05-13,25.0,40.0,,False,1014,Lausanne,VD,46.5195585,6.5645492999999995
Balelec Festival,"Balélec est le premier festival de musique open-air du printemps en Suisse. Il est organisé par des bénévoles, en majorité étudiants, et se déroule chaque année au mois de mai sur le site de l'EPFL à Lausanne[1]. C'est à l'origine le bal de la section d'électricité de l'EPFL. Il se déroule sur une soirée durant laquelle l'école est transformée et est divisée en scènes et clubs où ont lieu différentes prestations musicales. Avec une capacité de 15'000 festivaliers et plus de 30 concerts en une soirée, le festival Balélec est considéré comme un des plus grands festivals organisé par des étudiants en Europe[2],[3] .",,http://www.balelec.ch,http://www.facebook.com/balelec,,2017-05-12,2017-05-12,30.0,40.0,,False,1014,Lausanne,VD,46.5195585,6.5645492999999995
Baloise session Festival,"Erleben Sie die einzigartige Clubtischatmosphäre des Indoorfestivals BALOISE SESSION (vormals AVO SESSION). Als Zuschauer sitzen Sie in gediegenem Ambiente mit Clubtischen und Kerzenlicht nur wenige Meter von den Musikern entfernt. Kein anderes Musikfestival in der Schweiz bietet Ihnen diese Clubtischatmosphäre und so viel Intimität und Nähe zu den Stars.

Der Musikevent findet in der von Herzog & de Meuron konzipierten Event Halle der Messe Basel statt.

Wir und unser Presenting Sponsor «Basler Versicherungen» freuen uns, Sie vom 21. Oktober bis 8. November 2016 wieder an der BALOISE SESSION zu begrüssen.",Erleben Sie die einzigartige Clubtischatmosphäre des Indoorfestivals BALOISE SESSION (vormals AVO SESSION). Als Zuschauer sitzen Sie in gediegenem Ambiente mit Clubtischen und Kerzenlicht nur wenige...,http://www.baloisesession.ch/,https://www.facebook.com/BALOISESESSIONBasel/,,2016-10-21,2016-11-08,,,,False,4058,Basel,BS,47.56378,7.60079
Bar Festival Wichtrach,"Die 17. Ausgabe des Bar Festival findet vom 24. März bis 16. April 2016 statt. Die Ü30-Party wird nach erfolgreicher Wiedereinführung 2015 auch 2016 weitergeführt und findet am Freitag, 1. April statt. Der Eintritt für alle über 30 Jahren ist kostenlos. Und das ist kein Aprilscherz.","Die 17. Ausgabe des Bar Festival findet vom 24. März bis 16. April 2016 statt. Die Ü30-Party wird nach erfolgreicher Wiedereinführung 2015 auch 2016 weitergeführt und findet am Freitag, 1. April...",http://www.barfestival-wichtrach.ch,https://www.facebook.com/barfestival/,,2016-03-24,2016-04-16,,,,False,3114,Wichtrach,BE,46.8328529,7.5643987
Barbetech,"Barbetech 2012 est une manifestation gratuite au bord du lac de Neuchâtel. Elle se déroulera le 14 juillet 2012 au Parc des Rives du Lac, à coté du Petit Globe et du Pavillon des Rives à Yverdon-les-Bains. Un concours d'affiche et de DJs est organisé jusqu'au 13 mai 2012.","Barbetech 2012 est une manifestation gratuite au bord du lac de Neuchâtel. Elle se déroulera le 14 juillet 2012 au Parc des Rives du Lac, à coté du Petit Globe et du Pavillon des Rives à...",http://www.barbetech.ch,http://www.facebook.com/Barbetech-113842502037768/,,2014-07-04,2014-07-05,0.0,0.0,,True,1400,Yverdon,VD,46.7862493,6.6430655
Basel Tattoo,"Einzigartig in der Schweiz, weltweit eines der grössten und erfolgreichsten Openair Tattoos: Das Basel Tattoo präsentiert weltbekannte Ohrwürmer, originelle Choreografien und eine brillante Lichtshow vor der grandiosen historischen Kulisse der Kaserne Basel.","Einzigartig in der Schweiz, weltweit eines der grössten und erfolgreichsten Openair Tattoos: Das Basel Tattoo präsentiert weltbekannte Ohrwürmer, originelle Choreografien und eine brillante Lichtshow...",http://www.baseltattoo.ch,https://www.facebook.com/TheBaselTattoo/,http://www.ticketcorner.ch/tickets.html?fun=erdetail&affiliate=TCS&doc=erdetaila&erid=1544911&xtor=AL-6071,2016-07-21,2016-07-30,,,,False,0,Basel,BS,47.557607,7.5873141
BBC Open Festival,"Le BBC Open est un festival axé sur la musique électronique se tenant à Gossau, en Suisse alémanique.","Le BBC Open est un festival axé sur la musique électronique se tenant à Gossau, en Suisse alémanique.",,,,2016-09-02,2016-09-03,,,,False,0,Gossau,SG,47.4155608,9.2488519999999
