day,festival,month,name,ville,year
5.0,BELLUARD BOLLWERK INTERNATIONAL,Juil.,BONAPARTE,Fribourg,2008.0
27.0,BOURASK FESTIVAL,Jan.,DEMI PORTION,Venthone,2017.0
27.0,BOURASK FESTIVAL,Jan.,BASTARD PROD,Venthone,2017.0
27.0,BOURASK FESTIVAL,Jan.,PETHROL,Venthone,2017.0
28.0,BOURASK FESTIVAL,Jan.,MANAU,Venthone,2017.0
28.0,BOURASK FESTIVAL,Jan.,BROKEN BACK,Venthone,2017.0
6.0,CAPRICES,Avr.,MARCO CAROLA,Crans Montana,2017.0
6.0,CAPRICES,Avr.,LEON,Crans Montana,2017.0
6.0,CAPRICES,Avr.,MARCO FARAONE,Crans Montana,2017.0
6.0,CAPRICES,Avr.,PACO OSUNA,Crans Montana,2017.0
7.0,CAPRICES,Avr.,JAMIE JONES,Crans Montana,2017.0
7.0,CAPRICES,Avr.,THE MARTINEZ BROTHERS,Crans Montana,2017.0
8.0,CAPRICES,Avr.,JOHN TALABOT,Crans Montana,2017.0
8.0,CAPRICES,Avr.,MARCEL DETTMANN,Crans Montana,2017.0
8.0,CAPRICES,Avr.,RICARDO VILLALOBOS,Crans Montana,2017.0
8.0,CAPRICES,Avr.,AXEL BOMAN,Crans Montana,2017.0
8.0,CAPRICES,Avr.,MANO LE TOUGH,Crans Montana,2017.0
8.0,CAPRICES,Avr.,BEN KLOCK,Crans Montana,2017.0
8.0,CAPRICES,Avr.,SETH TROXLER,Crans Montana,2017.0
9.0,CAPRICES,Avr.,SVEN VATH,Crans Montana,2017.0
9.0,CAPRICES,Avr.,TINI (DJ),Crans Montana,2017.0
7.0,CARIBANA,Juin,RAG N BONE MAN,Crans sur Nyon,2017.0
8.0,CARIBANA,Juin,ROGER HODGSON & HIS BAND,Crans sur Nyon,2017.0
8.0,CARIBANA,Juin,FOREIGNER,Crans sur Nyon,2017.0
9.0,CARIBANA,Juin,KUNGS,Crans sur Nyon,2017.0
10.0,CARIBANA,Juin,L.E.J (LEJ),Crans sur Nyon,2017.0
11.0,CARIBANA,Juin,ALVARO SOLER,Crans sur Nyon,2017.0
11.0,CORBAK,Mai,GAETAN,La Chaux du Milieu,2016.0
12.0,CORBAK,Mai,CHLOE LACAN,La Chaux du Milieu,2016.0
13.0,CORBAK,Mai,SOPHIE HUNGER,La Chaux du Milieu,2016.0
14.0,CORBAK,Mai,THE RAMBLING WHEELS,La Chaux du Milieu,2016.0
20.0,CORBAK,Mai,4YGRECS,La Chaux du Milieu,2015.0
20.0,CORBAK,Mai,BZZZz (Olivier Gabus et Nathalie Dubois),La Chaux du Milieu,2015.0
21.0,CORBAK,Mai,NICOLAS FRAISSINET,La Chaux du Milieu,2015.0
21.0,CORBAK,Mai,YANAC,La Chaux du Milieu,2015.0
22.0,CORBAK,Mai,YAEL NAIM,La Chaux du Milieu,2015.0
23.0,CORBAK,Mai,ARTHUR H,La Chaux du Milieu,2015.0
5.0,CORBAK,Juin,JEANNE CHERHAL,La Chaux du Milieu,2014.0
6.0,CORBAK,Juin,FANNY LEEB,La Chaux du Milieu,2014.0
7.0,CORBAK,Juin,YANOWSKI,La Chaux du Milieu,2014.0
15.0,CORBAK,Mai,ERIK TRUFFAZ,La Chaux du Milieu,2013.0
16.0,CORBAK,Mai,MAIA VIDAL,La Chaux du Milieu,2013.0
17.0,CORBAK,Mai,ELEONORE,La Chaux du Milieu,2013.0
18.0,CORBAK,Mai,EMILY LOIZEAU,La Chaux du Milieu,2013.0
18.0,CORBAK,Mai,VINCENT VALLAT,La Chaux du Milieu,2013.0
18.0,CORBAK,Mai,LE CARNAVAL DES ANIMAUX,La Chaux du Milieu,2013.0
23.0,CORBAK,Mai,LES AVENTURES DE ROSALIE LA PETITE SOURIS,La Chaux du Milieu,2012.0
24.0,CORBAK,Mai,JANE BIRKIN,La Chaux du Milieu,2012.0
24.0,CORBAK,Mai,NICOLAS FRAISSINET,La Chaux du Milieu,2012.0
25.0,CORBAK,Mai,BAUCHKLANG,La Chaux du Milieu,2012.0
25.0,CORBAK,Mai,MNOZIL BRASS,La Chaux du Milieu,2012.0
25.0,CORBAK,Mai,JULIETTE,La Chaux du Milieu,2012.0
26.0,CORBAK,Mai,LES PETITS CHANTEURS A LA GUEULE DE BOIS,La Chaux du Milieu,2012.0
26.0,CORBAK,Mai,MIOSSEC,La Chaux du Milieu,2012.0
26.0,CORBAK,Mai,DEBOUT SUR LE ZINC,La Chaux du Milieu,2012.0
8.0,CORBAK,Juin,BRICOMIC,La Chaux du Milieu,2011.0
9.0,CORBAK,Juin,HEIDI HAPPY,La Chaux du Milieu,2011.0
10.0,CORBAK,Juin,MANU GALURE,La Chaux du Milieu,2011.0
11.0,CORBAK,Juin,LOUIS CHEDID,La Chaux du Milieu,2011.0
19.0,CORBAK,Mai,BACK TO THE FUTURE,La Chaux du Milieu,2010.0
20.0,CORBAK,Mai,LE CIRQUE DES MIRAGES,La Chaux du Milieu,2010.0
21.0,CORBAK,Mai,SELAH SUE,La Chaux du Milieu,2010.0
22.0,CORBAK,Mai,THOMAS FERSEN,La Chaux du Milieu,2010.0
28.0,CORBAK,Mai,ABD AL MALIK,La Chaux du Milieu,2009.0
29.0,CORBAK,Mai,THOMAS DUTRONC,La Chaux du Milieu,2009.0
30.0,CORBAK,Mai,DICK ANNEGARN,La Chaux du Milieu,2009.0
8.0,CORBAK,Mai,HOMMAGE A CLAUDE NOUGARO,La Chaux du Milieu,2008.0
9.0,CORBAK,Mai,VICTORIA TIBBLIN,La Chaux du Milieu,2008.0
9.0,CORBAK,Mai,JEAN LOUIS MURAT,La Chaux du Milieu,2008.0
9.0,CORBAK,Mai,MANO SOLO,La Chaux du Milieu,2008.0
10.0,CORBAK,Mai,TETES RAIDES,La Chaux du Milieu,2008.0
10.0,CORBAK,Mai,WILLIAM WHITE,La Chaux du Milieu,2008.0
10.0,CORBAK,Mai,PAULINE CROZE,La Chaux du Milieu,2008.0
24.0,CORBAK,Mai,BEL HUBERT,La Chaux du Milieu,2007.0
24.0,CORBAK,Mai,SIMON GERBER,La Chaux du Milieu,2007.0
24.0,CORBAK,Mai,VICTORIA ABRIL,La Chaux du Milieu,2007.0
25.0,CORBAK,Mai,VIENNA ART ORCHESTRA,La Chaux du Milieu,2007.0
25.0,CORBAK,Mai,BRIGITTE FONTAINE,La Chaux du Milieu,2007.0
25.0,CORBAK,Mai,EMILIE SIMON,La Chaux du Milieu,2007.0
26.0,CORBAK,Mai,LES FILS DE TEUHPU,La Chaux du Milieu,2007.0
26.0,CORBAK,Mai,SERGENT GARCIA,La Chaux du Milieu,2007.0
26.0,CORBAK,Mai,GIORGIO CONTE,La Chaux du Milieu,2007.0
1.0,CORBAK,Juin,MICHEL JONASZ (ABRAHAM),La Chaux du Milieu,2006.0
2.0,CORBAK,Juin,LOLE,La Chaux du Milieu,2006.0
2.0,CORBAK,Juin,YURI BUENAVENTURA,La Chaux du Milieu,2006.0
3.0,CORBAK,Juin,LO JO,La Chaux du Milieu,2006.0
3.0,CORBAK,Juin,CYRZ,La Chaux du Milieu,2006.0
3.0,CORBAK,Juin,MOUSS  & HAKIM,La Chaux du Milieu,2006.0
3.0,CORBAK,Juin,YVES JAMAIT,La Chaux du Milieu,2006.0
31.0,CULLY JAZZ,Mar.,ODDISEE,Cully,2017.0
31.0,CULLY JAZZ,Mar.,LES AMAZONES D'AFRIQUE,Cully,2017.0
31.0,CULLY JAZZ,Mar.,ALSARAH,Cully,2017.0
31.0,CULLY JAZZ,Mar.,LARS DANIELSSON,Cully,2017.0
1.0,CULLY JAZZ,Avr.,GUILLAUME PERRET,Cully,2017.0
1.0,CULLY JAZZ,Avr.,HEIRI KANZIG,Cully,2017.0
1.0,CULLY JAZZ,Avr.,FRANCOIS LINDEMANN,Cully,2017.0
1.0,CULLY JAZZ,Avr.,TONY ALLEN,Cully,2017.0
1.0,CULLY JAZZ,Avr.,AVISHAI COHEN (contrebasse),Cully,2017.0
1.0,CULLY JAZZ,Avr.,KALA JULA (SAMBA DIABATE ET VINCENT ZANETTI),Cully,2017.0
2.0,CULLY JAZZ,Avr.,QUARTETO GARDEL,Cully,2017.0
2.0,CULLY JAZZ,Avr.,LIONEL SUAREZ,Cully,2017.0
2.0,CULLY JAZZ,Avr.,AUTOUR DE CHET,Cully,2017.0
2.0,CULLY JAZZ,Avr.,BLICK BASSY,Cully,2017.0
2.0,CULLY JAZZ,Avr.,AVISHAI COHEN (contrebasse),Cully,2017.0
3.0,CULLY JAZZ,Avr.,HUGH COLTMAN,Cully,2017.0
3.0,CULLY JAZZ,Avr.,ERIC LEGNINI,Cully,2017.0
3.0,CULLY JAZZ,Avr.,MATTHIEU MICHEL,Cully,2017.0
3.0,CULLY JAZZ,Avr.,PAOLO FRESU,Cully,2017.0
3.0,CULLY JAZZ,Avr.,TIGRAN HAMASYAN,Cully,2017.0
4.0,CULLY JAZZ,Avr.,AMINE & HAMZA M'RAHI,Cully,2017.0
4.0,CULLY JAZZ,Avr.,VINCENT PEIRANI,Cully,2017.0
4.0,CULLY JAZZ,Avr.,CRAIG TABORN,Cully,2017.0
4.0,CULLY JAZZ,Avr.,MCCOY TYNER,Cully,2017.0
4.0,CULLY JAZZ,Avr.,COLIN VALLON,Cully,2017.0
4.0,CULLY JAZZ,Avr.,GERI ALLEN,Cully,2017.0
4.0,CULLY JAZZ,Avr.,LEYLA MC CALLA,Cully,2017.0
5.0,CULLY JAZZ,Avr.,AMINE & HAMZA M'RAHI,Cully,2017.0
5.0,CULLY JAZZ,Avr.,MILES MOSLEY,Cully,2017.0
5.0,CULLY JAZZ,Avr.,MANDEKAN CUBANO,Cully,2017.0
5.0,CULLY JAZZ,Avr.,HENRI TEXIER,Cully,2017.0
5.0,CULLY JAZZ,Avr.,RICHARD BONA,Cully,2017.0
5.0,CULLY JAZZ,Avr.,CARLES BENAVENT,Cully,2017.0
5.0,CULLY JAZZ,Avr.,MEDUOTERAN,Cully,2017.0
6.0,CULLY JAZZ,Avr.,OMAR,Cully,2017.0
6.0,CULLY JAZZ,Avr.,SEUN KUTI,Cully,2017.0
6.0,CULLY JAZZ,Avr.,MULATU ASTATKE,Cully,2017.0
6.0,CULLY JAZZ,Avr.,JOHN MEDESKI,Cully,2017.0
7.0,CULLY JAZZ,Avr.,CHRISTIAN SCOTT,Cully,2017.0
7.0,CULLY JAZZ,Avr.,BIG DADDY WILSON,Cully,2017.0
7.0,CULLY JAZZ,Avr.,FINK,Cully,2017.0
8.0,CULLY JAZZ,Avr.,PIERS FACCINI,Cully,2017.0
8.0,CULLY JAZZ,Avr.,BEN L'ONCLE SOUL,Cully,2017.0
2.0,ELECTRON,Avr.,BOYS NOIZE,Geneve,2015.0
3.0,ELECTRON,Avr.,JOHN TALABOT,Geneve,2015.0
4.0,ELECTRON,Avr.,SQUARE PUSHER,Geneve,2015.0
5.0,ELECTRON,Avr.,SBTRKT,Geneve,2015.0
28.0,ELECTRON,Mar.,ATARI TEENAGE RIOT,Geneve,2013.0
28.0,ELECTRON,Mar.,CALYX,Geneve,2013.0
28.0,ELECTRON,Mar.,GUI BORATTO,Geneve,2013.0
28.0,ELECTRON,Mar.,PSYBERPUNK,Geneve,2013.0
28.0,ELECTRON,Mar.,TROJAN SOUND SYSTEM,Geneve,2013.0
28.0,ELECTRON,Mar.,MADFUNK,Geneve,2013.0
29.0,ELECTRON,Mar.,RONE,Geneve,2013.0
29.0,ELECTRON,Mar.,DERRICK CARTER,Geneve,2013.0
29.0,ELECTRON,Mar.,CLOCK OPERA,Geneve,2013.0
29.0,ELECTRON,Mar.,EGYPTOLOGY,Geneve,2013.0
29.0,ELECTRON,Mar.,THEE MAJESTY,Geneve,2013.0
29.0,ELECTRON,Mar.,KAS PRODUCT,Geneve,2013.0
29.0,ELECTRON,Mar.,THE BUG,Geneve,2013.0
29.0,ELECTRON,Mar.,DJ CROWDPLEASER,Geneve,2013.0
30.0,ELECTRON,Mar.,JETS,Geneve,2013.0
30.0,ELECTRON,Mar.,SHACKLETON,Geneve,2013.0
30.0,ELECTRON,Mar.,TIGA,Geneve,2013.0
30.0,ELECTRON,Mar.,SOGAR,Geneve,2013.0
30.0,ELECTRON,Mar.,THEO PARRISH,Geneve,2013.0
30.0,ELECTRON,Mar.,OBF,Geneve,2013.0
30.0,ELECTRON,Mar.,MYAH,Geneve,2013.0
31.0,ELECTRON,Mar.,ROBERT ROCCOBELLY,Geneve,2013.0
31.0,ELECTRON,Mar.,PHIL QUENUM,Geneve,2013.0
31.0,ELECTRON,Mar.,STEREO HYPNOSIS,Geneve,2013.0
5.0,ELECTRON,Avr.,KANGDING RAY,Geneve,2012.0
5.0,ELECTRON,Avr.,GOTH TRAD,Geneve,2012.0
5.0,ELECTRON,Avr.,DJANGO DJANGO,Geneve,2012.0
5.0,ELECTRON,Avr.,DRUMATIK,Geneve,2012.0
6.0,ELECTRON,Avr.,CHIEF,Geneve,2012.0
6.0,ELECTRON,Avr.,LIGHTYEAR,Geneve,2012.0
6.0,ELECTRON,Avr.,OPUSWERK,Geneve,2012.0
6.0,ELECTRON,Avr.,MIK IZIF,Geneve,2012.0
6.0,ELECTRON,Avr.,SCRATCH MASSIVE,Geneve,2012.0
7.0,ELECTRON,Avr.,BRANDT BRAUER FRICK,Geneve,2012.0
7.0,ELECTRON,Avr.,SONJA MOONEAR,Geneve,2012.0
7.0,ELECTRON,Avr.,RICO (OBF),Geneve,2012.0
7.0,ELECTRON,Avr.,TREVOR JACKSON,Geneve,2012.0
7.0,ELECTRON,Avr.,DJ VINCZ LEE,Geneve,2012.0
7.0,ELECTRON,Avr.,YANG TAO,Geneve,2012.0
7.0,ELECTRON,Avr.,CHRISTINE GROULT,Geneve,2012.0
7.0,ELECTRON,Avr.,SACRED SELECTIONS -MATT STOKES,Geneve,2012.0
8.0,ELECTRON,Avr.,KONONO N°1,Geneve,2012.0
8.0,ELECTRON,Avr.,MARTYN,Geneve,2012.0
8.0,ELECTRON,Avr.,DJ COBEIA,Geneve,2012.0
21.0,ELECTRON,Avr.,NITZER EBB,Geneve,2011.0
21.0,ELECTRON,Avr.,YAN!,Geneve,2011.0
21.0,ELECTRON,Avr.,FLORENT MATHON,Geneve,2011.0
21.0,ELECTRON,Avr.,LOEFAH,Geneve,2011.0
21.0,ELECTRON,Avr.,NIKOLAS NEECKE,Geneve,2011.0
22.0,ELECTRON,Avr.,DC BREAKS,Geneve,2011.0
22.0,ELECTRON,Avr.,TWO LEFT EARS,Geneve,2011.0
22.0,ELECTRON,Avr.,"RYOJI IKEDA / ""SUPERPOSITION""",Geneve,2011.0
22.0,ELECTRON,Avr.,COSMIC BASTARDS,Geneve,2011.0
23.0,ELECTRON,Avr.,BEARDYMAN,Geneve,2011.0
23.0,ELECTRON,Avr.,DRADIS & BUCK CHERRY,Geneve,2011.0
23.0,ELECTRON,Avr.,MONDKOPF,Geneve,2011.0
23.0,ELECTRON,Avr.,BORN BJORG,Geneve,2011.0
23.0,ELECTRON,Avr.,CARTER TUTTI,Geneve,2011.0
23.0,ELECTRON,Avr.,COLUMN ONE,Geneve,2011.0
24.0,ELECTRON,Avr.,ISOLEE,Geneve,2011.0
24.0,ELECTRON,Avr.,MORITZ VON OSWALD,Geneve,2011.0
1.0,ELECTRON,Avr.,MIXHELL,Geneve,2010.0
1.0,ELECTRON,Avr.,BRODINSKI,Geneve,2010.0
2.0,ELECTRON,Avr.,RENAISSANCE MAN,Geneve,2010.0
2.0,ELECTRON,Avr.,GREEN VELVET,Geneve,2010.0
2.0,ELECTRON,Avr.,VLADISLAV DELAY,Geneve,2010.0
2.0,ELECTRON,Avr.,KALABRESE AND THE RUMPELORCHESTRA,Geneve,2010.0
3.0,ELECTRON,Avr.,CLAUDE VONSTROKE,Geneve,2010.0
3.0,ELECTRON,Avr.,ALVA NOTO aka CARSTEN NICOLAI,Geneve,2010.0
3.0,ELECTRON,Avr.,CHATON,Geneve,2010.0
4.0,ELECTRON,Avr.,ABE DUQUE,Geneve,2010.0
9.0,ELECTRON,Avr.,RICO TUBBS,Geneve,2009.0
9.0,ELECTRON,Avr.,2 MANY DJ'S,Geneve,2009.0
9.0,ELECTRON,Avr.,SALLY DOHERTY,Geneve,2009.0
10.0,ELECTRON,Avr.,AGORIA,Geneve,2009.0
10.0,ELECTRON,Avr.,DJ MEHDI,Geneve,2009.0
10.0,ELECTRON,Avr.,HELIOCENTRICS,Geneve,2009.0
10.0,ELECTRON,Avr.,MR SCRUFF,Geneve,2009.0
11.0,ELECTRON,Avr.,DJ CHLOE,Geneve,2009.0
11.0,ELECTRON,Avr.,MODESELEKTOR,Geneve,2009.0
11.0,ELECTRON,Avr.,NATIS,Geneve,2009.0
12.0,ELECTRON,Avr.,PRINS THOMAS,Geneve,2009.0
20.0,ELECTRON,Mar.,AUTECHRE,Geneve,2008.0
20.0,ELECTRON,Mar.,ROUND TABLE KNIGHTS,Geneve,2008.0
20.0,ELECTRON,Mar.,MOCHIPET,Geneve,2008.0
20.0,ELECTRON,Mar.,LUKE VIBERT,Geneve,2008.0
20.0,ELECTRON,Mar.,SPITZER,Geneve,2008.0
20.0,ELECTRON,Mar.,BITCHEE BITCHEE YA YA YA,Geneve,2008.0
20.0,ELECTRON,Mar.,RUBIN STEINER,Geneve,2008.0
20.0,ELECTRON,Mar.,PILOOSKI,Geneve,2008.0
20.0,ELECTRON,Mar.,MISSILL,Geneve,2008.0
20.0,ELECTRON,Mar.,GRETA GRATOS,Geneve,2008.0
20.0,ELECTRON,Mar.,SEBASTIEN TELLIER,Geneve,2008.0
21.0,ELECTRON,Mar.,DOP,Geneve,2008.0
21.0,ELECTRON,Mar.,NILS,Geneve,2008.0
21.0,ELECTRON,Mar.,DON RIMINI,Geneve,2008.0
21.0,ELECTRON,Mar.,KATE WAX aka AISHA DEVI,Geneve,2008.0
21.0,ELECTRON,Mar.,EMPATYSM,Geneve,2008.0
21.0,ELECTRON,Mar.,THE QEMISTS,Geneve,2008.0
21.0,ELECTRON,Mar.,LOSOUL,Geneve,2008.0
21.0,ELECTRON,Mar.,AUTOKRATZ,Geneve,2008.0
21.0,ELECTRON,Mar.,FAST FORWARD,Geneve,2008.0
22.0,ELECTRON,Mar.,MACKIE,Geneve,2008.0
22.0,ELECTRON,Mar.,ALPHA & OMEGA,Geneve,2008.0
22.0,ELECTRON,Mar.,VINCENT LEMIEUX,Geneve,2008.0
22.0,ELECTRON,Mar.,ROTATOR,Geneve,2008.0
22.0,ELECTRON,Mar.,KODE 9,Geneve,2008.0
22.0,ELECTRON,Mar.,PRINCESS SUPERSTAR,Geneve,2008.0
22.0,ELECTRON,Mar.,IMPROVISATORS DUB,Geneve,2008.0
22.0,ELECTRON,Mar.,MANU LE MALIN (aka THE DRIVER),Geneve,2008.0
22.0,ELECTRON,Mar.,DAEDELUS,Geneve,2008.0
22.0,ELECTRON,Mar.,THE GEORGES HABITBOL BROTHERS,Geneve,2008.0
22.0,ELECTRON,Mar.,RADIOCLIT,Geneve,2008.0
22.0,ELECTRON,Mar.,KID ROLEX,Geneve,2008.0
22.0,ELECTRON,Mar.,PAN SONIC,Geneve,2008.0
22.0,ELECTRON,Mar.,GHISLAIN POIRIER,Geneve,2008.0
23.0,ELECTRON,Mar.,LULUXPO,Geneve,2008.0
23.0,ELECTRON,Mar.,DJ DETECT,Geneve,2008.0
23.0,ELECTRON,Mar.,ROB LUIS,Geneve,2008.0
23.0,ELECTRON,Mar.,DATA (DJ),Geneve,2008.0
23.0,ELECTRON,Mar.,MOBILE IN MOTION,Geneve,2008.0
23.0,ELECTRON,Mar.,BURAKA SOM SISTEMA,Geneve,2008.0
23.0,ELECTRON,Mar.,SOLANGE LA FRANGE / LA PATRONNE,Geneve,2008.0
23.0,ELECTRON,Mar.,DETROIT GRAND PUBAHS,Geneve,2008.0
23.0,ELECTRON,Mar.,NAIVE NEW BEATERS,Geneve,2008.0
23.0,ELECTRON,Mar.,DANTON EEPROM,Geneve,2008.0
5.0,ELECTRON,Avr.,THE JOHN VENTURE,Geneve,2007.0
5.0,ELECTRON,Avr.,ADAM KESHER,Geneve,2007.0
5.0,ELECTRON,Avr.,LOVE MOTEL,Geneve,2007.0
5.0,ELECTRON,Avr.,KID ROLEX,Geneve,2007.0
5.0,ELECTRON,Avr.,SINNER DC,Geneve,2007.0
5.0,ELECTRON,Avr.,FRANCOIS K,Geneve,2007.0
5.0,ELECTRON,Avr.,REVERSE ENGINEERING,Geneve,2007.0
5.0,ELECTRON,Avr.,VITALIC,Geneve,2007.0
5.0,ELECTRON,Avr.,EL P (DEF JUX),Geneve,2007.0
5.0,ELECTRON,Avr.,M SAYYID,Geneve,2007.0
5.0,ELECTRON,Avr.,KLUB DES LOOSERS,Geneve,2007.0
5.0,ELECTRON,Avr.,KID CHOCOLAT,Geneve,2007.0
5.0,ELECTRON,Avr.,SCRATCH MASSIVE,Geneve,2007.0
5.0,ELECTRON,Avr.,WATER LILLY,Geneve,2007.0
5.0,ELECTRON,Avr.,ELLEN ALLIEN,Geneve,2007.0
5.0,ELECTRON,Avr.,MR OIZO,Geneve,2007.0
8.0,ELECTRON,Avr.,TAYLOR SAVVY,Geneve,2007.0
8.0,ELECTRON,Avr.,LULUXPO,Geneve,2007.0
8.0,ELECTRON,Avr.,PONI HOAX,Geneve,2007.0
9.0,FESTI NEUCH,Juin,THE CRANBERRIES,Neuchatel,2016.0
10.0,FESTI NEUCH,Juin,CYPRESS HILL,Neuchatel,2016.0
11.0,FESTI NEUCH,Juin,PAROV STELAR,Neuchatel,2016.0
12.0,FESTI NEUCH,Juin,SELAH SUE,Neuchatel,2016.0
11.0,FESTI NEUCH,Juin,HUBERT FELIX THIEFAINE,Neuchatel,2015.0
12.0,FESTI NEUCH,Juin,FATBOY SLIM,Neuchatel,2015.0
13.0,FESTI NEUCH,Juin,MILKY CHANCE,Neuchatel,2015.0
14.0,FESTI NEUCH,Juin,YANNICK NOAH,Neuchatel,2015.0
12.0,FESTI NEUCH,Juin,THE OFFSPRING,Neuchatel,2014.0
13.0,FESTI NEUCH,Juin,JULIEN DORE,Neuchatel,2014.0
14.0,FESTI NEUCH,Juin,THE ROOTS,Neuchatel,2014.0
15.0,FESTI NEUCH,Juin,BASTIAN BAKER,Neuchatel,2014.0
30.0,FESTI NEUCH,Mai,TRICKY,Neuchatel,2013.0
31.0,FESTI NEUCH,Mai,KLAXONS,Neuchatel,2013.0
1.0,FESTI NEUCH,Juin,STEPHAN EICHER,Neuchatel,2013.0
2.0,FESTI NEUCH,Juin,SALIF KEITA,Neuchatel,2013.0
31.0,FESTI NEUCH,Mai,MARILYN MANSON,Neuchatel,2012.0
1.0,FESTI NEUCH,Juin,SEXION D'ASSAUT,Neuchatel,2012.0
2.0,FESTI NEUCH,Juin,THOMAS FERSEN,Neuchatel,2012.0
3.0,FESTI NEUCH,Juin,AMADOU ET MARIAM,Neuchatel,2012.0
2.0,FESTI NEUCH,Juin,AYO,Neuchatel,2011.0
3.0,FESTI NEUCH,Juin,WU TANG CLAN,Neuchatel,2011.0
4.0,FESTI NEUCH,Juin,MOBY,Neuchatel,2011.0
5.0,FESTI NEUCH,Juin,GROUNDATION,Neuchatel,2011.0
3.0,FESTI NEUCH,Juin,MIKA,Neuchatel,2010.0
4.0,FESTI NEUCH,Juin,CYPRESS HILL,Neuchatel,2010.0
5.0,FESTI NEUCH,Juin,CARAVAN PALACE,Neuchatel,2010.0
6.0,FESTI NEUCH,Juin,YOUSSOU N'DOUR,Neuchatel,2010.0
4.0,FESTI NEUCH,Juin,LIMP BIZKIT,Neuchatel,2009.0
4.0,FESTI NEUCH,Juin,ZEBRA (Antoine),Neuchatel,2009.0
5.0,FESTI NEUCH,Juin,KEZIAH JONES,Neuchatel,2009.0
5.0,FESTI NEUCH,Juin,ROUND TABLE KNIGHTS,Neuchatel,2009.0
6.0,FESTI NEUCH,Juin,RAPHAEL,Neuchatel,2009.0
7.0,FESTI NEUCH,Juin,EMIR KUSTURICA & THE NO SMOKING ORCHESTRA,Neuchatel,2009.0
30.0,FESTI NEUCH,Mai,BOYS NOIZE,Neuchatel,2008.0
30.0,FESTI NEUCH,Mai,ZENZILE,Neuchatel,2008.0
30.0,FESTI NEUCH,Mai,THE LICKS,Neuchatel,2008.0
30.0,FESTI NEUCH,Mai,SIMIAN MOBILE DISCO,Neuchatel,2008.0
30.0,FESTI NEUCH,Mai,EMPYR,Neuchatel,2008.0
30.0,FESTI NEUCH,Mai,THE VERVE,Neuchatel,2008.0
30.0,FESTI NEUCH,Mai,TAFTA,Neuchatel,2008.0
30.0,FESTI NEUCH,Mai,IZUL,Neuchatel,2008.0
31.0,FESTI NEUCH,Mai,THE STREETS,Neuchatel,2008.0
31.0,FESTI NEUCH,Mai,STEPHAN EICHER,Neuchatel,2008.0
